"name","picurl","url"
"Vitamiinisalat punase kapsa, porgandi ja rohelise sibulaga","http://pilt.toidutare.ee/pilt/02.2019/181674/311x311.jpg?t=1551270913","http://toidutare.ee/käik/lõunasöök/1C8FD/#Vitamiinisalat punase kapsa, porgandi ja rohelise sibulaga"
"Kaul Nurme kõrvitsasupp","http://pilt.toidutare.ee/pilt/02.2019/181624/311x311.jpg?t=1550066647","http://toidutare.ee/käik/lõunasöök/1C8D3/#Kaul Nurme kõrvitsasupp"
"Kollase herne püreesupp","http://pilt.toidutare.ee/pilt/02.2019/181622/311x311.jpg?t=1550049406","http://toidutare.ee/käik/lõunasöök/1C8D1/#Kollase herne püreesupp"
"Praetud maks kartuli ja peekoniga","http://pilt.toidutare.ee/pilt/02.2019/181609/311x311.jpg?t=1549887558","http://toidutare.ee/käik/lõunasöök/1C8CA/#Praetud maks kartuli ja peekoniga"
"Zuzu baklažaaniikra","http://pilt.toidutare.ee/pilt/02.2019/181610/311x311.jpg?t=1549887954","http://toidutare.ee/käik/lõunasöök/1C8C9/#Zuzu baklažaaniikra"
"Blond puttanesca","http://pilt.toidutare.ee/pilt/01.2019/181569/311x311.jpg?t=1548854818","http://toidutare.ee/käik/lõunasöök/1C8A6/#Blond puttanesca"
"Majoneesisai küpse juustu ja oliividega","http://pilt.toidutare.ee/pilt/01.2019/181564/311x311.jpg?t=1548767732","http://toidutare.ee/käik/lõunasöök/1C8A1/#Majoneesisai küpse juustu ja oliividega"
"Bombay kartulid","http://pilt.toidutare.ee/pilt/01.2019/181560/311x311.jpg?t=1548671178","http://toidutare.ee/käik/lõunasöök/1C89E/#Bombay kartulid"
"Brie-pirukas apelsinimoosiga","http://pilt.toidutare.ee/pilt/01.2019/181550/311x311.jpg?t=1548420249","http://toidutare.ee/käik/lõunasöök/1C897/#Brie-pirukas apelsinimoosiga"
"Köögiviljasalat seakeelega","http://pilt.toidutare.ee/pilt/01.2019/181521/311x311.jpg?t=1547472486","http://toidutare.ee/käik/lõunasöök/1C879/#Köögiviljasalat seakeelega"
"Koorekastmes lõhe spinati ja tomatiga","http://pilt.toidutare.ee/pilt/01.2019/181514/311x311.jpg?t=1547210074","http://toidutare.ee/käik/lõunasöök/1C86D/#Koorekastmes lõhe spinati ja tomatiga"
"Koorekastmes küpsenud kana päikesekuivatatud tomatitega","http://pilt.toidutare.ee/pilt/01.2019/181513/311x311.jpg?t=1547209600","http://toidutare.ee/käik/lõunasöök/1C86C/#Koorekastmes küpsenud kana päikesekuivatatud tomatitega"
"Läätse-hakklihasupp","http://pilt.toidutare.ee/pilt/12.2018/181425/311x311.jpg?t=1544530485","http://toidutare.ee/käik/lõunasöök/1C819/#Läätse-hakklihasupp"
"Krevetid köögivilja-kookosekastmes","http://pilt.toidutare.ee/pilt/12.2018/181423/311x311.jpg?t=1544448478","http://toidutare.ee/käik/lõunasöök/1C816/#Krevetid köögivilja-kookosekastmes"
"Hurmaa-halloumi","http://pilt.toidutare.ee/pilt/12.2018/181422/311x311.jpg?t=1544447638","http://toidutare.ee/käik/lõunasöök/1C815/#Hurmaa-halloumi"
"Juustune juurviljavorm","http://pilt.toidutare.ee/pilt/12.2018/181419/311x311.jpg?t=1544445817","http://toidutare.ee/käik/lõunasöök/1C812/#Juustune juurviljavorm"
"Küpsetatud kanakintsud köögiviljadega","http://pilt.toidutare.ee/pilt/11.2018/181349/311x311.jpg?t=1542194567","http://toidutare.ee/käik/lõunasöök/1C7DB/#Küpsetatud kanakintsud köögiviljadega"
"Suvikõrvitsa-frikadellivorm","http://pilt.toidutare.ee/pilt/11.2018/181347/311x311.jpg?t=1542193370","http://toidutare.ee/käik/lõunasöök/1C7D9/#Suvikõrvitsa-frikadellivorm"
"Pärlkuskussi salat röstitud tomati ja kikerhernestega","http://pilt.toidutare.ee/pilt/11.2018/181346/311x311.jpg?t=1542192922","http://toidutare.ee/käik/lõunasöök/1C7D8/#Pärlkuskussi salat röstitud tomati ja kikerhernestega"
"Pilaff kanapugudega","http://pilt.toidutare.ee/pilt/11.2018/181343/311x311.jpg?t=1542183260","http://toidutare.ee/käik/lõunasöök/1C7D5/#Pilaff kanapugudega"
"Baklažaani-hakklihavorm Türgi moodi","http://pilt.toidutare.ee/pilt/11.2018/181342/311x311.jpg?t=1542182653","http://toidutare.ee/käik/lõunasöök/1C7D4/#Baklažaani-hakklihavorm Türgi moodi"
"Kapsarullisupp","http://pilt.toidutare.ee/pilt/10.2018/181268/311x311.jpg?t=1539258608","http://toidutare.ee/käik/lõunasöök/1C78F/#Kapsarullisupp"
"Lillkapsariis  köögiviljadega","http://pilt.toidutare.ee/pilt/10.2018/181265/311x311.jpg?t=1539257270","http://toidutare.ee/käik/lõunasöök/1C78D/#Lillkapsariis  köögiviljadega"
"Mangomarinaadis küpsetatud tursafilee","http://pilt.toidutare.ee/pilt/10.2018/181261/311x311.jpg?t=1539164049","http://toidutare.ee/käik/lõunasöök/1C788/#Mangomarinaadis küpsetatud tursafilee"
"Broilerisüdame-juurviljahautis","http://pilt.toidutare.ee/pilt/10.2018/181260/311x311.jpg?t=1539162498","http://toidutare.ee/käik/lõunasöök/1C787/#Broilerisüdame-juurviljahautis"
"Soe salat kinoa ja köögiviljaga","http://pilt.toidutare.ee/pilt/10.2018/181257/311x311.jpg?t=1539161045","http://toidutare.ee/käik/lõunasöök/1C785/#Soe salat kinoa ja köögiviljaga"
"Paneer vürtsikas tomatikastmes","http://pilt.toidutare.ee/pilt/02.2018/180482/311x311.jpg?t=1519043116","http://toidutare.ee/käik/lõunasöök/1C4F1/#Paneer vürtsikas tomatikastmes"
"Muffinid hakkliha, juustu ja ürtidega","http://pilt.toidutare.ee/pilt/03.2018/180497/311x311.jpg?t=1520076276","http://toidutare.ee/käik/lõunasöök/1C504/#Muffinid hakkliha, juustu ja ürtidega"
"Odrakruubid seente ja kõrvitsaga","http://pilt.toidutare.ee/pilt/02.2018/180474/311x311.jpg?t=1518776095","http://toidutare.ee/käik/lõunasöök/1C4EA/#Odrakruubid seente ja kõrvitsaga"
"Praetud riis muna ja kanaga","http://pilt.toidutare.ee/pilt/02.2018/180454/311x311.jpg?t=1518185857","http://toidutare.ee/käik/lõunasöök/1C4DC/#Praetud riis muna ja kanaga"
"Kaalika-kruubisupp suitsulihaga","http://pilt.toidutare.ee/pilt/02.2018/180442/311x311.jpg?t=1517926754","http://toidutare.ee/käik/lõunasöök/1C4CE/#Kaalika-kruubisupp suitsulihaga"
"Porgandisupp ingveri ja koriandriga","http://pilt.toidutare.ee/pilt/02.2018/180451/311x311.jpg?t=1518009830","http://toidutare.ee/käik/lõunasöök/1C4D7/#Porgandisupp ingveri ja koriandriga"
"Rukkipasta peedipestoga","http://pilt.toidutare.ee/pilt/02.2018/180441/311x311.jpg?t=1517926250","http://toidutare.ee/käik/lõunasöök/1C4CD/#Rukkipasta peedipestoga"
"Punane räimesupp laimiga","http://pilt.toidutare.ee/pilt/01.2018/180407/311x311.jpg?t=1517308576","http://toidutare.ee/käik/lõunasöök/1C4B4/#Punane räimesupp laimiga"
"Juustuga gratineeritud lillkapsapea","http://pilt.toidutare.ee/pilt/01.2018/180374/311x311.jpg?t=1516801208","http://toidutare.ee/käik/lõunasöök/1C49D/#Juustuga gratineeritud lillkapsapea"
"Hernesupp chorizo’ga","http://pilt.toidutare.ee/pilt/01.2018/180380/311x311.jpg?t=1516972905","http://toidutare.ee/käik/lõunasöök/1C4A5/#Hernesupp chorizo’ga"
"Peediorsoto","http://pilt.toidutare.ee/pilt/01.2018/180373/311x311.jpg?t=1516800580","http://toidutare.ee/käik/lõunasöök/1C49C/#Peediorsoto"
"Ahjuhernesupp","http://pilt.toidutare.ee/pilt/01.2018/180401/311x311.jpg?t=1517232294","http://toidutare.ee/käik/lõunasöök/1C4AD/#Ahjuhernesupp"
"Kikerhernesupp bulguri, lehtkapsa ja röstitud tomatitega","http://pilt.toidutare.ee/pilt/01.2018/180360/311x311.jpg?t=1516630407","http://toidutare.ee/käik/lõunasöök/1C490/#Kikerhernesupp bulguri, lehtkapsa ja röstitud tomatitega"
"Vietnamipärane kana-nuudlisupp ehk pho ga","http://pilt.toidutare.ee/pilt/01.2018/180358/311x311.jpg?t=1516624423","http://toidutare.ee/käik/lõunasöök/1C48E/#Vietnamipärane kana-nuudlisupp ehk pho ga"
"Feta-melonisalat ja rukolapesto","http://pilt.toidutare.ee/pilt/01.2018/180364/311x311.jpg?t=1516712146","http://toidutare.ee/käik/lõunasöök/1C494/#Feta-melonisalat ja rukolapesto"
"Porgandi-bataadisupp maapähklitega","http://pilt.toidutare.ee/pilt/01.2018/180361/311x311.jpg?t=1516630904","http://toidutare.ee/käik/lõunasöök/1C491/#Porgandi-bataadisupp maapähklitega"
"Brokolipüreesupp seemnetega","http://pilt.toidutare.ee/pilt/01.2018/180356/311x311.jpg?t=1516615026","http://toidutare.ee/käik/lõunasöök/1C48B/#Brokolipüreesupp seemnetega"
"Kreeka läätsesupp","http://pilt.toidutare.ee/pilt/01.2018/180343/311x311.jpg?t=1516194909","http://toidutare.ee/käik/lõunasöök/1C481/#Kreeka läätsesupp"
"Köögivilja-püreesupp","http://pilt.toidutare.ee/pilt/01.2018/180350/311x311.jpg?t=1516280220","http://toidutare.ee/käik/lõunasöök/1C486/#Köögivilja-püreesupp"
"Tomati-kikerhernesupp","http://pilt.toidutare.ee/pilt/01.2018/180336/311x311.jpg?t=1516106463","http://toidutare.ee/käik/lõunasöök/1C476/#Tomati-kikerhernesupp"
"Kiire aasiapärane kana-nuudlisupp","http://pilt.toidutare.ee/pilt/01.2018/180341/311x311.jpg?t=1516182741","http://toidutare.ee/käik/lõunasöök/1C47D/#Kiire aasiapärane kana-nuudlisupp"
"Kreeka makaronivorm hakklihaga (pastitsio)","http://pilt.toidutare.ee/pilt/01.2018/180351/311x311.jpg?t=1516281759","http://toidutare.ee/käik/lõunasöök/1C487/#Kreeka makaronivorm hakklihaga (pastitsio)"
"Petersellirohke sidrunikana tomatisalatiga","http://pilt.toidutare.ee/pilt/01.2018/180340/311x311.jpg?t=1516182222","http://toidutare.ee/käik/lõunasöök/1C47C/#Petersellirohke sidrunikana tomatisalatiga"
"Täidetud paprikad ja tomatid","http://pilt.toidutare.ee/pilt/01.2018/180344/311x311.jpg?t=1516195425","http://toidutare.ee/käik/lõunasöök/1C482/#Täidetud paprikad ja tomatid"
"Kotletid kõrvitsa ja kanahakklihaga","http://pilt.toidutare.ee/pilt/10.2018/181256/311x311.jpg?t=1539160084","http://toidutare.ee/käik/lõunasöök/1C784/#Kotletid kõrvitsa ja kanahakklihaga"
"Orecchiette ehk kõrvakesed brokoli ja vorstikestega","http://pilt.toidutare.ee/pilt/09.2018/181217/311x311.jpg?t=1537781827","http://toidutare.ee/käik/lõunasöök/1C760/#Orecchiette ehk kõrvakesed brokoli ja vorstikestega"
"Aasiapärane köögivilja ja kreveti salat","http://pilt.toidutare.ee/pilt/09.2018/181188/311x311.jpg?t=1536580882","http://toidutare.ee/käik/lõunasöök/1C73F/#Aasiapärane köögivilja ja kreveti salat"
"Kooreses kastmes farfalle’d metsaseenetega","http://pilt.toidutare.ee/pilt/09.2018/181187/311x311.jpg?t=1536580325","http://toidutare.ee/käik/lõunasöök/1C73E/#Kooreses kastmes farfalle’d metsaseenetega"
"Kartulipannkoogid hakklihaga","http://pilt.toidutare.ee/pilt/09.2018/181180/311x311.jpg?t=1536240659","http://toidutare.ee/käik/lõunasöök/1C737/#Kartulipannkoogid hakklihaga"
"Suvikõrvitsa-ricottarullid tomatikastmes","http://pilt.toidutare.ee/pilt/09.2018/181179/311x311.jpg?t=1536240188","http://toidutare.ee/käik/lõunasöök/1C736/#Suvikõrvitsa-ricottarullid tomatikastmes"
"Lillkapsa-brokolivorm kalkunihakklihaga","http://pilt.toidutare.ee/pilt/08.2018/181132/311x311.jpg?t=1534407048","http://toidutare.ee/käik/lõunasöök/1C70A/#Lillkapsa-brokolivorm kalkunihakklihaga"
"Praetud lestad ürdi-sidrunivõiga","http://pilt.toidutare.ee/pilt/08.2018/181131/311x311.jpg?t=1534406149","http://toidutare.ee/käik/lõunasöök/1C709/#Praetud lestad ürdi-sidrunivõiga"
"Röstitud peet hapukoore-mädarõikakastmes","http://pilt.toidutare.ee/pilt/08.2018/181119/311x311.jpg?t=1534241035","http://toidutare.ee/käik/lõunasöök/1C702/#Röstitud peet hapukoore-mädarõikakastmes"
"Kartulisalat soolakurgi, vutimunade ja sinepikastmega","http://pilt.toidutare.ee/pilt/08.2018/181122/311x311.jpg?t=1534244264","http://toidutare.ee/käik/lõunasöök/1C701/#Kartulisalat soolakurgi, vutimunade ja sinepikastmega"
"Tomati-sibulakarri","http://pilt.toidutare.ee/pilt/08.2018/181121/311x311.jpg?t=1534244221","http://toidutare.ee/käik/lõunasöök/1C700/#Tomati-sibulakarri"
"Kääritatud salsa cruda","http://pilt.toidutare.ee/pilt/06.2018/180825/311x311.jpg?t=1528382833","http://toidutare.ee/käik/lõunasöök/1C63F/#Kääritatud salsa cruda"
"Kreeka salat tofufetaga","http://pilt.toidutare.ee/pilt/06.2018/180824/311x311.jpg?t=1528381808","http://toidutare.ee/käik/lõunasöök/1C63E/#Kreeka salat tofufetaga"
"Maks peekonis","http://pilt.toidutare.ee/pilt/05.2018/180758/311x311.jpg?t=1526634086","http://toidutare.ee/käik/lõunasöök/1C621/#Maks peekonis"
"Värsked aedoad prantsuspäraselt","http://pilt.toidutare.ee/pilt/05.2018/180756/311x311.jpg?t=1526632884","http://toidutare.ee/käik/lõunasöök/1C61F/#Värsked aedoad prantsuspäraselt"
"Küpsetamata kevadrullid","http://pilt.toidutare.ee/pilt/05.2018/180764/311x311.jpg?t=1526975867","http://toidutare.ee/käik/lõunasöök/1C628/#Küpsetamata kevadrullid"
"Kana-nuudlisupp","http://pilt.toidutare.ee/pilt/05.2018/180751/311x311.jpg?t=1526551006","http://toidutare.ee/käik/lõunasöök/1C61B/#Kana-nuudlisupp"
"Kapsariis tatraga","http://pilt.toidutare.ee/pilt/05.2018/180750/311x311.jpg?t=1526547873","http://toidutare.ee/käik/lõunasöök/1C61A/#Kapsariis tatraga"
"Spargel pastinaagikastmes","http://pilt.toidutare.ee/pilt/05.2018/180738/311x311.jpg?t=1526390606","http://toidutare.ee/käik/lõunasöök/1C60E/#Spargel pastinaagikastmes"
"Soe lõhesalat köögiviljadega","http://pilt.toidutare.ee/pilt/05.2018/180721/311x311.jpg?t=1525858756","http://toidutare.ee/käik/lõunasöök/1C601/#Soe lõhesalat köögiviljadega"
"Karulaugusupp nõgesega","http://pilt.toidutare.ee/pilt/05.2018/180723/311x311.jpg?t=1525866841","http://toidutare.ee/käik/lõunasöök/1C603/#Karulaugusupp nõgesega"
"Nõgesesupp avokaado ja karulauguga","http://pilt.toidutare.ee/pilt/05.2018/180715/311x311.jpg?t=1525778585","http://toidutare.ee/käik/lõunasöök/1C5FA/#Nõgesesupp avokaado ja karulauguga"
"Kaalikasupp läätsedega","http://pilt.toidutare.ee/pilt/05.2018/180677/311x311.jpg?t=1525256282","http://toidutare.ee/käik/lõunasöök/1C5DA/#Kaalikasupp läätsedega"
"Kanapoolkoivad mündikastmega","http://pilt.toidutare.ee/pilt/05.2018/180675/311x311.jpg?t=1525255028","http://toidutare.ee/käik/lõunasöök/1C5D8/#Kanapoolkoivad mündikastmega"
"Tatraroog oliivide ja päikesekuivatatud tomatitega","http://pilt.toidutare.ee/pilt/05.2018/180685/311x311.jpg?t=1525347129","http://toidutare.ee/käik/lõunasöök/1C5E3/#Tatraroog oliivide ja päikesekuivatatud tomatitega"
"Brokoli-spinativorm sinihallitusjuustuga","http://pilt.toidutare.ee/pilt/05.2018/180682/311x311.jpg?t=1525342626","http://toidutare.ee/käik/lõunasöök/1C5E0/#Brokoli-spinativorm sinihallitusjuustuga"
"Köögiviljakarri","http://pilt.toidutare.ee/pilt/04.2018/180649/311x311.jpg?t=1524144957","http://toidutare.ee/käik/lõunasöök/1C5BB/#Köögiviljakarri"
"Juurselleripüreesupp","http://pilt.toidutare.ee/pilt/04.2018/180651/311x311.jpg?t=1524212755","http://toidutare.ee/käik/lõunasöök/1C5BD/#Juurselleripüreesupp"
"Kevadine spargliorsoto suvikõrvitsaga","http://pilt.toidutare.ee/pilt/04.2018/180644/311x311.jpg?t=1524127301","http://toidutare.ee/käik/lõunasöök/1C5B7/#Kevadine spargliorsoto suvikõrvitsaga"
"Kanafilee peekoni ja rosmariiniga","http://pilt.toidutare.ee/pilt/04.2018/180630/311x311.jpg?t=1523545732","http://toidutare.ee/käik/lõunasöök/1C5A7/#Kanafilee peekoni ja rosmariiniga"
"Kala Poola kastmes","http://pilt.toidutare.ee/pilt/04.2018/180623/311x311.jpg?t=1523439986","http://toidutare.ee/käik/lõunasöök/1C59C/#Kala Poola kastmes"
"Ramen-nuudli supp munaga","http://pilt.toidutare.ee/pilt/04.2018/180622/311x311.jpg?t=1523439511","http://toidutare.ee/käik/lõunasöök/1C59B/#Ramen-nuudli supp munaga"
"Külluslik hapukapsasupp","http://pilt.toidutare.ee/pilt/04.2018/180617/311x311.jpg?t=1523360664","http://toidutare.ee/käik/lõunasöök/1C593/#Külluslik hapukapsasupp"
"Spagetid krevettide ja tšilliga","http://pilt.toidutare.ee/pilt/03.2018/180593/311x311.jpg?t=1521811597","http://toidutare.ee/käik/lõunasöök/1C575/#Spagetid krevettide ja tšilliga"
"Kõrvitsasupp","http://pilt.toidutare.ee/pilt/03.2018/180591/311x311.jpg?t=1521806041","http://toidutare.ee/käik/lõunasöök/1C573/#Kõrvitsasupp"
"Gnocchi salveivõiga","http://pilt.toidutare.ee/pilt/03.2018/180557/311x311.jpg?t=1521473239","http://toidutare.ee/käik/lõunasöök/1C549/#Gnocchi salveivõiga"
"Avokaadokastmes pasta","http://pilt.toidutare.ee/pilt/03.2018/180580/311x311.jpg?t=1521746829","http://toidutare.ee/käik/lõunasöök/1C567/#Avokaadokastmes pasta"
"Läätsehautis kikerhernestega","http://pilt.toidutare.ee/pilt/03.2018/180541/311x311.jpg?t=1521126041","http://toidutare.ee/käik/lõunasöök/1C537/#Läätsehautis kikerhernestega"
"Püreesupp maapirni ja bataadiga","http://pilt.toidutare.ee/pilt/03.2018/180573/311x311.jpg?t=1521633005","http://toidutare.ee/käik/lõunasöök/1C55B/#Püreesupp maapirni ja bataadiga"
"Mündine hernesupp","http://pilt.toidutare.ee/pilt/03.2018/180548/311x311.jpg?t=1521465980","http://toidutare.ee/käik/lõunasöök/1C541/#Mündine hernesupp"
"Läätsesalat","http://pilt.toidutare.ee/pilt/03.2018/180550/311x311.jpg?t=1521467451","http://toidutare.ee/käik/lõunasöök/1C543/#Läätsesalat"
"Vrapp grillitud suvikõrvitsa ja hummusega","http://pilt.toidutare.ee/pilt/03.2018/180535/311x311.jpg?t=1520979032","http://toidutare.ee/käik/lõunasöök/1C530/#Vrapp grillitud suvikõrvitsa ja hummusega"
"Särtsakas vegekauss kinoa ja avokaadoga","http://pilt.toidutare.ee/pilt/03.2018/180536/311x311.jpg?t=1520979535","http://toidutare.ee/käik/lõunasöök/1C531/#Särtsakas vegekauss kinoa ja avokaadoga"
"Paprikavokk šampinjonide ja ingveriga","http://pilt.toidutare.ee/pilt/03.2018/180512/311x311.jpg?t=1520535198","http://toidutare.ee/käik/lõunasöök/1C518/#Paprikavokk šampinjonide ja ingveriga"
"Kuldne paastusupp toortatraga","http://pilt.toidutare.ee/pilt/03.2018/180516/311x311.jpg?t=1520537576","http://toidutare.ee/käik/lõunasöök/1C51C/#Kuldne paastusupp toortatraga"
"Ahjuroog bataadi, peedi ja vürtsikate kikerhernestega","http://pilt.toidutare.ee/pilt/03.2018/180514/311x311.jpg?t=1520536367","http://toidutare.ee/käik/lõunasöök/1C51A/#Ahjuroog bataadi, peedi ja vürtsikate kikerhernestega"
"Kana-klimbisupp","http://pilt.toidutare.ee/pilt/03.2018/180526/311x311.jpg?t=1520582904","http://toidutare.ee/käik/lõunasöök/1C524/#Kana-klimbisupp"
"Pontsakad juustuvahvlid pisukese tüümiani ja peekoniga","http://pilt.toidutare.ee/pilt/03.2018/180498/311x311.jpg?t=1520076733","http://toidutare.ee/käik/lõunasöök/1C505/#Pontsakad juustuvahvlid pisukese tüümiani ja peekoniga"
"Lammas pajas apelsinide ja vürtsköömnetega","http://pilt.toidutare.ee/pilt/11.2012/3867/311x311.jpg?t=1416984532","http://toidutare.ee/käik/lõunasöök/1462B/#Lammas pajas apelsinide ja vürtsköömnetega"
"Sealihast vokiroog köögiviljade ja ananassiga","http://pilt.toidutare.ee/pilt/11.2012/3874/311x311.jpg?t=1416984537","http://toidutare.ee/käik/lõunasöök/1462E/#Sealihast vokiroog köögiviljade ja ananassiga"
"Pasta porrulaugu-tomatikastmes","http://pilt.toidutare.ee/pilt/11.2012/3886/311x311.jpg?t=1416984542","http://toidutare.ee/käik/lõunasöök/14604/#Pasta porrulaugu-tomatikastmes"
"Koriandri-sibulapesto ja kaunviljadega kana","http://pilt.toidutare.ee/pilt/11.2012/3887/311x311.jpg?t=1416984543","http://toidutare.ee/käik/lõunasöök/14616/#Koriandri-sibulapesto ja kaunviljadega kana"
"Koorene kalasupp II","http://pilt.toidutare.ee/pilt/11.2012/3893/311x311.jpg?t=1416984546","http://toidutare.ee/käik/lõunasöök/1460D/#Koorene kalasupp II"
"Kuskuss hakkliha ja salsaga","http://pilt.toidutare.ee/pilt/11.2012/3895/311x311.jpg?t=1416984546","http://toidutare.ee/käik/lõunasöök/145C2/#Kuskuss hakkliha ja salsaga"
"Baklažaanilasanje","http://pilt.toidutare.ee/pilt/11.2012/3899/311x311.jpg?t=1416984549","http://toidutare.ee/käik/lõunasöök/14606/#Baklažaanilasanje"
"Köögiviljakarri punaste läätsede ja baklažaaniga","http://pilt.toidutare.ee/pilt/11.2012/3901/311x311.jpg?t=1416984553","http://toidutare.ee/käik/lõunasöök/14603/#Köögiviljakarri punaste läätsede ja baklažaaniga"
"Idamaine pardisupp","http://pilt.toidutare.ee/pilt/11.2012/3903/311x311.jpg?t=1416984559","http://toidutare.ee/käik/lõunasöök/1460F/#Idamaine pardisupp"
"Küüliku-pastinaagisupp","http://pilt.toidutare.ee/pilt/11.2012/3904/311x311.jpg?t=1416984562","http://toidutare.ee/käik/lõunasöök/1460E/#Küüliku-pastinaagisupp"
"Sibulasupp juustu ja röstitud saiakuubikutega","http://pilt.toidutare.ee/pilt/11.2012/3905/311x311.jpg?t=1416984565","http://toidutare.ee/käik/lõunasöök/1460B/#Sibulasupp juustu ja röstitud saiakuubikutega"
"Küüslaugused gnocchi'd päikesekuivatatud tomatitega","http://pilt.toidutare.ee/pilt/11.2012/3908/311x311.jpg?t=1416984574","http://toidutare.ee/käik/lõunasöök/145E3/#Küüslaugused gnocchi'd päikesekuivatatud tomatitega"
"Pardike","http://pilt.toidutare.ee/pilt/11.2012/3913/311x311.jpg?t=1416984582","http://toidutare.ee/käik/lõunasöök/145F4/#Pardike"
